twitter_account,stock,url,source,title,authors,publish_date,text,keywords
,,https://www.cnn.com/2020/03/16/tech/amazon-shipping-coronavirus/index.html,cnn,"Amazon hiring 100,000 new distribution workers to keep up with online shopping surge caused by coronavirus","['Clare Duffy', 'Cnn Business']",3/16/2020 0:00,,
,,https://finance.yahoo.com/news/apocalyptic-scenario-unlikely-amazon-other-tech-stocks-tech-analyst-says-194143166.html,yahoo,"‘Apocalyptic’ scenario unlikely for Amazon and other tech stocks, tech analyst says",['Max Zahn'],2020-03-24 19:41:43+00:00,,
,,https://www.wsj.com/articles/coronavirus-sparks-hiring-spree-for-nearly-500-000-jobs-at-biggest-retailers-11584984596,wsj,"Coronavirus Sparks Hiring Spree for Nearly 500,000 Jobs at Biggest Retailers","['Sarah Nassauer', 'Jaewon Kang']",,,
,,https://www.bloomberg.com/opinion/articles/2020-04-01/apple-deal-with-amazon-prime-video-is-game-changer,bloomberg,Are you a robot?,[],4/1/2020 0:00,,
,,https://www.cnbc.com/2020/03/29/amazon-workers-in-staten-island-plan-strike-over-coronavirus-safety.html,cnbc,Amazon workers plan strike at Staten Island warehouse to demand coronavirus protections,['Annie Palmer'],3/29/2020 0:00,,
,,https://www.reuters.com/article/us-health-coronavirus-amazon-com-masks-e/exclusive-amazon-to-deploy-masks-and-temperature-checks-for-workers-by-next-week-idUSKBN21K1Y6,reuters,Exclusive: Amazon to deploy masks and temperature checks for workers by next week,"['Jeffrey Dastin', 'Min Read']",2020-04-02 18:19:31+00:00,,
,,https://www.marketwatch.com/story/as-coronavirus-hits-hard-amazon-starts-licensing-cashier-free-technology-to-retailers-2020-03-31,marketwatch,"As coronavirus hits hard, Amazon starts licensing cashier-free technology to retailers",['Jurica Dujmovic'],3/31/2020 0:00,,
,,https://www.ft.com/content/220bf850-726c-11ea-ad98-044200cb277f,ft,Amazon auditions to be ‘the new Red Cross’ in Covid-19 crisis | Free to read,"['Dave Lee', 'Patricia Nilsson']",2020-03-31 04:00:29+00:00,,
,,https://www.kiplinger.com/slideshow/investing/T018-S001-the-9-best-dow-jones-dividend-growth-stocks/index.html,kiplinger,The 9 Best Dow Jones Dividend Growth Stocks,['Brian Bollinger'],,,
,,https://www.fool.com/investing/2020/04/02/india-coronavirus-lockdown-mean-amazon-walmart.aspx,fool,What Does India’s Coronavirus Lockdown Mean for Amazon and Walmart?,"['Leo Sun', 'Tmfsunlion', 'Leo Is A Tech', 'Consumer Goods Specialist Who Has Covered The Crossroads Of Wall Street', 'Silicon Valley Since His Wheelhouse Includes Cloud', 'Iot', 'Analytics', 'Telecom', 'Gaming Related Businesses. Follow Him On Twitter For More Updates']",4/2/2020 0:00,,
,,https://www.investors.com/research/how-to-find-the-best-stocks-to-buy/amazon-stock-aws-cloud-services-drive-coronavirus-stock-market/,investors,Coronavirus Stocks To Watch: Giant Cloud Player Sets Up New Base,"[""Investor'S Business Daily"", 'Matthew Galgani']",2020-03-30 20:05:44+00:00,,
